country,name,phone,email,dealerNo,geoCodeLongitude,geoCodeLatitude,postcode,town,street,region,fax,websiteFullUrl
AR,Maxfer Motos,0353-4522682,ferfiuri@yahoo.com.ar,7960028535680143845,-63.227631,-32.42065,5900,"Villa María, Cordoba",Marcelo T. de Alvear 275,,,#
AR,"GS motorcycle S.A, Pilar",+5402320 40-3333,consultas@gsmotorcycle.com.ar,7960028325226746341,-58.93971,-34.45421,1629,Pilar,Avenida 12 De Octubre,,,#
AR,Automoto Lanus,+5411 4249 2080,automotolanus@speedy.com.ar,7960028514205307365,-58.41288,-34.695492,1824,"Lanus, Bs As",25 DE MAYO 1600,,,#
AR,Motoswift SRL,4656-9055,info_ramos@motoswift.com,4239338985383858661,-58.56561,-34.64112,1704,Ramos Mejia,Avenida Rivadavia  14992 ,,,#
AR,DISTRIBUIDORA OESTE,234 453 4087,,8660084788835059273,-60.958,-34.59939,6640,Junin,Benito de Miguel 819,,,#
AR,"GS motorcycle S.A, Pinamar",02254-494650,gsmotorcycle@hotmail.com,7960028436895896037,-56.86897,-37.10634,7167,Pinamar,De La Corvina 1259,,,#
AR,Exclusive Gesell,02255-476960,aexquad@hotmail.com,7960028441190863333,-56.97005,-37.24708,7165,Villa Gesell,Avenida Buenos Aires 1300,,,#
AR,GROSSO MOTOS,,MOTOS@GROSSOAUTOMOTORES.COM,7800722115181568846,-65.46695,-33.66881,5730,Villa Mercedes,25 De Mayo 95,,,#
AR,Klober Motoshop,(0223) 474-6011,klobermdp@yahoo.com.ar,-4619268831622678705,-57.57016,-37.993359,7600,Mar del Plata,Av. Colón 4587,,,#
AR,Meschini Motos,0261 413-3600,alfrdochirino@redmeschini.com.ar,4981011820966699087,-68.85069,-32.92802,5501,Godoy Cruz,Rodríguez Peña 2643,,,#
AR,Flyingmotors,02983 432724,aexquad@hotmail.com,7960028350996550117,-60.27835,-38.37846,7500,Tres Arroyos,Av San Martín  1315,,,#
AR,Moto Ruiz,+542994776588,concesionario@motosruiz.com.ar,7960028497025438181,-67.98571,-38.9362,8324,Cipolletti,Teniente Ibáñez 598,,,#
AR,ATV Latitud Sur,+5492944634718,comercial@atvlatitudsur.com,7960028312341844453,-71.361237,-41.131371,8400,"San Carlos de Bariloche, Rio Negro",Av de los Pioneros 4337,,,#
AR,SM Motos - Comodoro Rivadavia,0297446-4127,sfonseca@smmotos.com.ar,8200837153979938114,-67.49728,-45.86226,U9000EAB,Comodoro Rivadavia,Alvear 403,,,#
AR,Patagonia X-treme ,+54 11 02964 429,patagonia-xtreme@hotmail.com,7960028320931779045,-67.71638,-53.78196,9420,Rio Grande,Almirante Brown 1040,,,#
AM,MAAT & CO LLC,,ara.azadkhanian@gmail.com,9597,44.451699,40.214923,0009,Yerevan,"No.1, Erznkaci Str. Vahakni Taghamas",,,#
AU,NT MOTORCYCLE CENTRE,08 8939 0390,sales@ntmc.com.au,7960025593627546085,130.915634,-12.42967,0828,Berrimah,637 Stuart Highway,,08 8939 0300,http://www.ntmotorcyclecentre.com.au
AU,SUNCITY MOTORCYCLES,08 9921 6888,sales@suncitymotorcycles.com.au,7960025537792971237,114.624519,-28.74485,6530,Geraldton,1 Flores Rd,WA,08 9964 5205,http://www.suncitymotorcycles.com.au
AU,Dale Britton Motorcycles,(08) 9470 1234,dale@dalebritton.com.au,8635051677197185602,115.89048,-31.969887,6100,VICTORIA PARK,Unit 5 115 Albany Hwy,,,http://www.dalebritton.com.au/
AU,Savage Motorcycles,08 9274 4866,daniel@savagemotorcycles.com.au,7960025756836303333,116.028992,-31.89163,6056,Midvale,Corner of Great Eastern Hwy / Stanhope Gardens,,08 9274 2984,https://www.savagemotorcycles.com.au
AU,Mandurah City KTM,08 9584 2411,sales@mcy.com.au,7960025585037611493,115.747292,-32.515091,6210,Mandurah,3 Canton Fairway,,08 9534 7933,http://mcy.com.au/ktm
AU,Bunbury KTM ,08 9721 1600,sander@bunburyktm.com.au,7960025370289246693,115.640877,-33.332069,6230,Bunbury,61 Spencer Street,WA,08 9721 1655,https://www.bunburyktm.com.au
AU,Ray Moore Motorcycles  ,08 9021 6527,bids7303@bigpond.net.au,7960025524908069349,121.484772,-30.757469,6430,Kalgoorlie,220 Boulder Rd,WA,08 9021 6534,http://www.kalgoorlie-motorcycle.websyte.com.au
AU,Northern Performance,0740575696,Sales@northernperformance.com.au,-8825699537018637499,145.69466,-16.8336,4878,Cairns,16 Salvado Dr,,,#
AU,Albany Motorcycles,08 9842 2914,albanymotorcycles@iinet.net.au,7960025726771532261,117.876732,-35.01548,6330,Albany,174 Albany H/way,,08 9841 3683,https://www.albanymotorcycles.com
AU,Future Sport Motorcycles,07 4725 7001,futuresp@bigpond.com,7960025679526892005,146.795059,-19.291258,4812,Hermit Park,21 Ross River Road  ,,07 4725 7005,https://www.futuresportmotorcycles.com.au
AU,BULLET BIKES,07 4957 2227,manager@bulletbikes.com.au,7960025365994279397,149.178772,-21.143221,4740,Mackay,89a Gordon st,QL,07 4944 0358,https://www.bulletbikes.com.au
AU,Wurths Motorcycles Rockhampton,07 4922 2668,wurths@bigpond.com,7960025752541336037,150.505539,-23.38138,4700,ROCKHAMPTON,6/138 GEORGE STREET,,07 4922 7011,https://www.wurthsrockhampton.com.au
AU,GLADSTONE MOTORCYCLES,07 4972 9944,rob@gladstonemotorcycles.com.au,7960025400354017765,151.26651,-23.851179,4680,Gladstone,54 Toolooa st,QL,07 4972 9933,http://www.gladstonemotorcycles.com.au/
AU,Maryborough Motorcycles,07 4121 6630,sales@mmcycles.com.au,7960025675231924709,152.679276,-25.548491,4650,Maryborough,85 Gympie Road,,07 4121 3080,http://maryboroughmotorcycles.com.au
AU,Wide Bay Motorcycles,07 5483 8063,shane@widebaymotorcycles.com.au,7960025713886630373,152.66516,-26.1895,4570,Gympie,Cnr Bruce Hwy & Hall Road,,07 5483 8218,http://www.widebaymotorcycles.com.au
AU,Dalby Moto ,07 4662 1211,sales@dalbymoto.com.au,7960025387469115877,151.273758,-27.17227,4405,Dalby,19 Hospital Road,QL,07 4662 3518,https://www.dalbymoto.com.au
AU,Moto1 Motorcycles,07 5445 8866,info@moto1motorcycles.com.au,8522999195148428613,153.098129,-26.658501,4558,Maroochydore,45 Third Ave ,,,https://moto1motorcycles.com.au/
AU,Kessner KTM,08 8261 9955,roger@kessnermotorcycles.com.au,7960025434713756133,138.638016,-34.870979,5087,Klemzig,320 North East Rd ,SA,08 8369 0080,https://www.kessnermotorcycles.com.au
AU,QB4 KTM,07 4632 6062,sales@qb4.com.au,7960025662347022821,151.901596,-27.55018,4350,Torrington,"6 Carrington Rd, Torrington",,07 4638 2054,http://www.qb4.com.au
AU,MOTO ADELAIDE,08 8374 2299,MARTIN@MOTOADELAIDE.COM.AU,7960025765426237925,138.575165,-34.988941,5039,Melrose Park,1075 South Road,,08 8374 2899,https://www.motoadelaide.com.au
AU,Coast PowerSports KTM,08 8382 5581,mark@coastpowersports.com.au,7960025761131270629,138.52397,-35.1195,5162,Adelaide,222 Main South Rd,,,https://www.coastpowersports.com.au
AU,Team Moto Virginia,07 3259 2986,virginiaktm@teammoto.com.au,7960025499138265573,153.061569,-27.37916,4014,Virginia,1916 Sandgate Rd ,QL,07 3265 2085,http://teammotoktmvirginia.com.au
AU,Ultimate Motorbikes Ipswich,07 3050 4198,sidp@ultimatemotorbikes.com.au,7960025739656434149,152.747421,-27.62274,4305,West Ipswich ,359 Brisbane Street ,,07 3810 3919,http://www.ultimatemotorbikes.com.au
AU,Team Moto Moorooka,07 3426 4498,moorookaktm@teammoto.com.au,7960025460483559909,153.019043,-27.528999,4105,Moorooka,969 Ipswich rd,QL,07 3426 4445,http://teammotoktmmoorooka.com.au
AU,Brisbane KTM ,07 3208 7999,sales@motorcyclesrus.com.au,7960025743951401445,153.115677,-27.617161,4119,Underwood,112 Kingston Road ,,,https://www.brisbanektm.com.au/
AU,Thomas Lee Motorcycles,02 6752 3566,sales@thomaslee.com.au,7960025795491008997,149.84346,-29.47595,2400,Moree,386 Frome Street,,02 6752 2687,http://www.thomaslee.com.au
AU,Ultimate Motorbikes Gold Coast,0756551595,pgdp@ultimatemotorbikes.com.au,334395899874704970,153.38532,-27.93259,4216,Gold Coast,13 Gateway Dr,,,https://www.ultimatemotorbikes.com.au
AU,Moto Tech Mildura,03 50001826,peter@mototech.com.au,-2516565599460229822,142.172806,-34.190128,3500,Mildura,34 Seventh Street East,,,#
AU,Ballina Motorcycles,0266 813000,,3320446369715301197,153.555923,-28.866699,2478,Ballina,21 Kerr Street,,,#
AU,DUBBO CITY MOTORCYCLES,02 6882 8884,mmmotorcycles@ozemail.com.au,7960025477663429093,148.593994,-32.248409,2830,Dubbo,11 Victoria St,NW,02 6882 5037,#
AU,EAGLE POWERSPORTS,0267655586,SALES@EAGLEPOWERSPORTS.COM.AU,-9033175211796747445,150.924408,-31.092369,2340,Tamworth,30 Bridge Street,,,https://www.eaglepowersports.com.au
AU,Coffs KTM,02 6650 4250,info@coffsktm.com.au,7960025722476564965,153.128143,-30.286409,2450,Coffs Harbour,1b GDT Seccombe Close ,,02 6652 8587,https://www.coffsktm.com.au
AU,Wimmera Motorcycle Co,0353826011,sales@wimmeramotorcycle.com.au,7469372519029765966,142.204544,-36.722099,3400,Horsham,84 McPherson Street,,,https://www.wimmeramotorcycle.com.au
AU,J&P Motorcycles,02 6964 2422,sales@jpmotorcycles.com.au,7960025426123821541,146.062057,-34.290409,2680,Griffith,2-8 Banna  Ave,NW,02 6962 6742,http://www.jpmotorcycles.com.au
AU,BLUE CITY MOTORCYCLES,08 8725 0299,TOM@BLUECITYMOTORCYCLES.COM.AU,7960025774016172517,140.78708,-37.81673,5290,Mount Gambier,110 Penola Rd,,08 8724 9131,https://www.bluecitymotorcycles.com.au
AU,Beard Brothers Motorcycles,02 6331 6421,SALES@BBMOTORCYCLES.COM.AU,7960025731066499557,149.580536,-33.412281,2795,Bathurst,123 Durham Street ,,02 6332 1847,https://www.BBMOTORCYCLES.COM.AU
AU,Hunter Valley Motorsports,02 4932 6800,sales@huntervalleymotorcycles.com.au,7960025378879181285,151.507248,-32.708092,2320,Rutherford,"Shop 1, 387 New England Highway",NW,,https://www.huntervalleymotorsports.com.au
AU,Wagga Motorcycles,02 6922 7777,darren@waggamotorcycles.com.au,3522365120868910666,147.42944,-35.12792,2652,Gumly Gumly,3871 Sturt Hwy,,,https://www.waggamotorcycles.com.au
AU,Shepparton Motorcycles,+61 3 5822 2466,,3667907673300679757,145.40684,-36.38363,3630,Shepparton,4 Purcell St,,,#
AU,Wood Motorcycle & Mower,03 5561 1700,sales@woodmotorcycle.com.au,6329080822671025988,142.46582,-38.36865,3280,Warrnambool,1059-1061 Raglan Pde,,,https://www.woodmotorcycle.com.au
AU,KTM Newcastle,02 4037 3333,SHANE@KTMNEWCASTLE.COM.AU,7960025348814410213,151.654343,-32.965641,2280,Warners Bay,Unit 2 / 391A Hillsborough Road,NW,02 4956 3258,
AU,Bolton Motorcycles,03 5422 2255,bolton@netcon.net.au,7960025357404344805,144.465744,-37.255661,3444,Kyneton,10 Bourke ST,VC,03 5422 3101,http://www.boltonmotorcycles.com/
AU,Coastal Motorcycles,02 4324 8916,sales@coastalmcc.com.au,7960025383174148581,151.330994,-33.414841,2250,West Gosford ,Unit 5    6 Bowen Cres,NW,02 4324 8926,https://www.coastalmcc.com.au
AU,Sutto's Motorcycles,02 4737 9566,sales@suttos.com.au,7960025640872186341,150.674255,-33.7687,2750,Jamisontown,141  Blaikie Road,,02 4737 9533,https://www.suttos.com.au
AU,GAS Moto & Power Equipment,+61 3 5721 7400,admin@gasmoto.com.au,9115322920612787788,146.33525,-36.3477,3677,Wangaratta,61-65 Parfitt Rd,,,#
AU,MotoHub Motorcycles & Accessories,+61 2 9899 2333,Gavin@motohub.com.au,7666330587988902218,150.97966,-33.733021,2154,Castle Hill,Unit 7/4 Victoria ave ,,,http://www.motohub.com.au
AU,Procycles Hornsby,(02) 9910 9500,sales@procycles.com.au,7960025503433232869,151.100723,-33.698589,2077,Hornsby,148 George St,NW,02 9476 3534,https://www.procycles.com.au
AU,On Two Wheels,02 4625 7518,,-4729310413423827128,150.764236,-34.02037,2557,Gregory Hills,Unit 1/18 Holborn Crt,,,https://www.ontwowheels.com.au
AU,KTM Northern Beaches,02 8459 6000,,-7583540262948328374,151.278442,-33.76717,2100,BROOKVALE NSW ,170 Harbord Road,,,#
AU,Procycles St Peters,02 9557 1610,info@procycles.com.au,7960025701001728485,151.179123,-33.9132,2044,St Peters,140 Princes Highway,,,https://www.procycles.com.au
AU,TEAM MOTO EPPING ,+61 (0)394010000,hedp@teammoto.com.au,-7209003965698004925,145.000824,-37.648361,3076,EPPING,3/342 COOPER STREET,,,https://www.teammotoktmepping.com.au
AU,Southern Highlands Motorcycle Centre,02 4871 1770,SALES@SHMOTORCYCLECENTRE.COM.AU,7960025696706761189,150.442886,-34.44746,2575,Mittagong,514 Old Hume Highway,,02 4871 1771,
AU,Werribee Motorcycles,03 9748 6949,terry@werribeektm.com.au,7960025567857742309,144.708405,-37.879551,3029,Hoppers Crossing,88 Old Geelong Rd,VC,03 9748 8962,http://www.ktmsales.com.au
AU,MOTO TECH KTM,03 5229 9990,mototech@eftel.net.au,7960025606512447973,144.35358,-38.17928,3216,Belmont,138 Barwon Heads Rd,,03 5229 6900,https://www.mototech.com.au
AU,Team Moto Canberra,02 6280 4491,,-6014323954855118269,149.168396,-35.324291,2609,Fhyshwick,30 IPSWICH STREET,,,https://www.teammoto.com.au/canberra/
AU,RINGWOOD KTM,03 8870 1322,inforingwood@peterstevens.com.au,4239338976793924069,145.25177,-37.798431,3134,Ringwood ,507 Maroondah Hwy,,03 8870 1390,http://www.peterstevens.com.au
AU,Carr Brothers Motorcycles,02 4274 3086,brayden@cbmoto.com,-3961685229463012283,150.783707,-34.542419,2530,Yallah NSW,Unit 1 60-64 Princes Highway,,,#
AU,Dandenong KTM,(03)97917722,andrew@peterstevens.com.au,-7026699681778560691,145.221863,-37.999039,3175,Dandenong,105 Lonsdale Street,,,http://www.peterstevens.com.au
AU,MARRIOTTS MOTORCYCLES,03 5662 2028,sales@marriottsmpe.com.au,7960025447598658021,145.946426,-38.477982,3953,Leongatha,Cnr Allison st /Gippsland Hway,VC,03 5662 2662,https://www.marriottsmpe.com.au
AU,TRARALGON HARLEY-DAVIDSON & KTM,+61 3 5174 5660,info@traralgonhd.com.au,6085064977090405964,146.55495,-38.19098,3844,Traralgon,146 Argyle St,,,https://www.traralgonhd.com.au
AU,North West Motorcycles,03 6425 3337,nwmc@bigpond.com,7960025481958396389,146.169525,-41.157398,7315,Ulverstone,4 Reibey Street,TS,03 6425 3710,http://www.northwestmotorcycles.com.au
AU,Motorworks Motorcycles ,03 62343888,sales@motorworks.com.au,8484064541023858753,147.320206,-42.874569,7000,Hobart,248 Argyle Street,,,https://www.motorworks.com.au
AT,MOTOBIKE HANDELS GMBH,0557458620,info@motobike.co.at,1098,9.73445,47.496227,6900,Bregenz,Arlbergstrasse 65 ,,0557458624,https://www.motobike.co.at
AT,MOTORRAD CENTER OBERLAND,055505050,info@motorradcenter.at,3589,9.776858,47.197356,6713,Ludesch,Hans-Wucher-Platz 2 ,,055505051,https://www.motorradcenter.at
AT,Moto-City-West,0544263861,info@moto-city-west.at,3631,10.577745,47.146834,6500,Landeck,Urichstrasse 72 ,,054426386133,https://www.motocitywest.at/
AT,MX - KTM KINI Gmbh,0524499870,stefan@kini.at,4022,11.81925,47.405972,6210,Wiesing,Larchwald 360 ,,,https://www.kinibikeworld.at
AT,Zweirad Wimmer Gmbh,077287004,hp.wimmer@zweirad-wimmer.at,3735,12.965352,48.180266,5134,Schwand,Braunauer Strasse 1 ,,0772870044,https://www.ktm-wimmer.at
AT,ZWEIRAD ZAUNER,077124541,m.zauner@az-zauner.at,2487,13.445776,48.429941,4782,Schaerding,Badhoering 29 ,,07712454119,https://www.zweirad-zauner.at
AT,Hauthaler Vertriebs GmbH,0662 830404,office@2rad-hauthaler.at,905,13.026781,47.788711,5020,Salzburg,Moosstraße 52 A ,,066283040414,https://www.2rad-hauthaler.at
AT,AUTO + MOTORRAD HOLZMEISTER GmbH & COKG,0658273891,info@autobike.eu,1498,12.857901,47.417962,5760,Saalfelden,Almerstrasse 36 ,,06582738914,https://www.autobike.eu
AT,KTM BRAUMANDL GMBH,0724246201,office@braumandl.com,2342,14.04196,48.15316,4600,Thalheim bei Wels,KTM-Straße 1 ,,0724260913,http://www.braumandl.com
AT,WATZINGER-MOTORRAD GmbH,0732 239240,info@watzinger-motorrad.at,9431,14.31614,48.32962,4040,Linz,Freistädter Straße 328 A ,OÖ,,https://www.watzinger-motorrad.at
AT,DAS ZWEIRAD UNTERBERGER,0613225547,info@2rad.cc,13,13.608025,47.719173,4820,Bad Ischl,Salzburgerstr. 54 ,,0613222406,http://www.2rad.cc
AT,RS SCHALKO GMBH,0285376940,info@rsschalko.at,3779,15.06472,48.78576,3943,Schrems,Niederschremserstrasse 35 ,,02853769409,https://www.rsschalko.at
AT,Rameis Rudolf Motorradhandel,0725934934,office@rameis-motorrad.at,9172,14.33134,48.04481,4523,Neuzeug,Grünfeldstraße 51 ,,0725237718,https://www.rameis-motorrad.at
AT,Autohaus Christian Bodner e.U.,485263646,motorrad@autobodner-debant.at,9163,12.80243,46.82993,9990,Nußdorf-Debant,Glocknerstraße 2 ,,,https://ktm.motorradcenter-debant.at/de
AT,Autohaus Eckl GmbH,0741252000,motorrad@eckl.com,649,15.105922,48.159529,3254,Bergland,Bergland Center 1 ,,074125200079,https://www.eckl.com
AT,ZWEIRAD LENZ,036142839,Verkauf@2radlenz.at,1670,14.365344,47.525601,8786,Rottenmann,Hauptstrasse 24A ,,03614283911,http://www.2radlenz.at
AT,Obereder & Weiß GmbH & Co KG,0476242157,office@​roedlbach.at,833,13.50925,46.78939,9800,Spittal an der Drau,Kummererstraße 2 ,,,https://www.roedlbach.at
AT,Motorrad Handel Gmbh,0274274454,office@ktm-stpoelten.at,4109,15.65222,48.21532,3100,St. Pölten,Wiener Straße 211,,02742744544,https://www.ktm-stpoelten.at
AT,HORST KAUDELA,025267263,horst@kaudela.at,229,16.348942,48.670065,2154,Unterstinkenbrunn,Bundessstraße Nr. 225 ,,02526726317,https://www.kaudela.at
AT,Bernhard Walzer GmbH,0358440527,office@walzer.cc,3268,14.424974,47.080371,8820,Neumarkt/Stmk,Wienerstrasse 22 ,,0358440537,https://www.walzer.cc
AT,KTM Walzer Spielberg,0351271128,spielberg@walzer.cc,7797,14.77345,47.21501,8724,Spielberg,Spielbergstraße 16 ,,,https://www.spielberg.walzer.cc
AT,IL MOTO Ges.m.b.H.,01272500020,ilmoto@ilmoto.at,300,16.388425,48.276056,1210,Wien,Prager Straße 147 ,,01272500050,https://www.ilmoto.at
AT,KROPFITSCH GMBH,046322344,2rad@kropfitsch.at,93,14.29766,46.60467,9020,Klagenfurt,Rosentaler Straße 147 ,,046322287,https://www.kropfitsch.at
AT,Schruf Motorrad,02672/84115,office@ktm-schruf.at,9666,16.09851,47.95271,2563,Pottenstein,Bundesstraße 28 ,,,https://www.ktm-schruf.at
AT,PETER REITBAUER,038658285,zweiradreitbauer@aon.at,3450,15.497578,47.467424,8653,Stanz/Muerztal,Stanz Nr. 68 ,,03865828514,https://www.zweiradreitbauer.at
AT,KTM Wien GmbH,01 8901301,office@ktm-wien.com,7396,16.32638,48.13195,2331,Vösendorf,Schönbrunner Allee 18 Kaufpark Vösendorf,,,https://www.ktm-wien.com/
AT,MOTOTHEK,0263567333,ktm@motothek.at,1982,16.03134,47.71309,2620,Ternitz,Rechengasse 25 Industriegebiet Rohrbach,,0263567444,https://www.motothek.at
AT,Euro Motors Graz,0316263106,verkauf@euromotorsgraz.at,2500,15.412089,47.051147,8053,Graz,Harter Strasse 70 ,,0316 263 106 666,http://www.euromotorsgraz.at
AT,KFZ KNOPPER,0346381167,g.knopper@knopper-kfz.at,2049,15.256604,46.928074,8511,St.Stefan,Lestein 74 ,,0346381167,https://www.knopper-kfz.at
AT,BAUMSCHLAGER ZWEIRAD,0313547416,ktm@baumschlager.at,3389,15.502895,46.994055,8071,Hausmannstaetten,Grazerstrasse 31 A ,,0313547416,https://www.baumschlager.at
AT,MOTORSPORT KNÖBL,026462075,office@motorsport-knoebl.at,2119,16.287177,47.495255,2860,Kirchschlag,Wienerstraße 45 ,,026462075,https://www.motorsport-knoebl.at
BH,Motorcycle World Company W.L.L.,77669999,mohammed.alsadiq@motorcycleworldbahrain.com,1409,50.556267,26.227464,.,Manama,"Shop 3, Entrance 688 Road 5115 Block 351, Alsuwayfiyah",,,https://www.motorcycleworldbahrain.com
BD,Runner Automobiles Limited,,ktm_tejgaon@runnerbd.com,-4957180007591569600,90.404334,23.770428,1208,"Dhaka, Bangladesh","255, Tejgaon Industrial Area, Mob- 01730405325, 01730407390",,,#
BD,Runner Automobiles Limited,,ktm_tejgaon@runnerbd.com,-4957180007591569600,90.400373,23.766476,1208,"Dhaka, Bangladesh","340, Shahid Tajuddin Rd, Tejgaon Indt. Area, Mob- 01730406747, 01313056035",,,#
BY,Motomoto,375296633500,vladimir@motomoto.by,1667,27.6235,53.9461,220103,Minsk,Vulica Kalinoŭskaha 6,,,#
BE,Moto's Hautekiet,050 27 83 23,mail@hautekiet.be,2909,3.221549,51.100817,8020,Ruddervoorde,De Leiteweg 4 ,,050280950,https://www.hautekiet.be
BE,Desmet Motorshop,056 60 45 05,info@motorshop-desmet.be,1168,3.442644,50.876521,8790,Waregem,Wortegemseweg 25 ,,056609807,https://www.motorshop-desmet.be
BE,Engels Filip Motos,093 28 53 01,info@engelsfilip-motos.be,8922,3.89184,51.03536,9270,Kalken,Colmanstraat 44 ,,,https://www.engelsfilip-motos.be
BE,DD Bikes,052 22 13 31,dd.bikes@telenet.be,2865,4.134963,51.033025,9200,Dendermonde,Vlassenhout 19A ,,052216270,https://www.ddbikes.eu
BE,Racing Center,033243980,info@racingcenter.be,144,4.476886,51.236656,2100,Deurne,Middelmolenlaan 12-16 ,,033259955,https://www.racingcenter.be
BE,Geeco Bikes,0475 24 74 16,info@geecobikes.be,5440,4.218142,50.963209,1745,Opwijk,Klei 222 ,,052550563,https://www.geecobikes.be
BE,Desmet Motorshop,068 86 05 30,info@bikesday.be,1168,3.78359,50.63867,7800,Ath,Rue des Prés du Roy 6 ,,056609807,https://www.ktm-ath.be
BE,Active Pits NV,015421138,info@activepits.be,7164,4.49181,51.0143,2800,MECHELEN,Motstraat 72 ,,015431277,https://www.activepits.be
BE,The Good Bike,02 426 24 86,info@thegoodbike.com,1041,4.32654,50.87198,1090,Bruxelles,Boulevard De Smet De Naeyer 10 ,,024253358,https://www.thegoodbike.com
BE,Horse Power 84,02 792 57 93,horsepower84motos@outlook.com,9378,4.4022,50.70002,1410,Waterloo,Chaussée de Bruxelles 572 ,10,,https://www.horsepower84motos.be
BE,Motocare,016353921,info@motocare.be,5112,4.934122,50.931553,3390,Tielt-Winge,Diestsesteenweg 33 A ,,016449952,https://www.motocare.be
BE,Ride & Race,010888193,kevin@ride-and-race.be & serge@ride-and-race.be,261,4.66353,50.73836,1390,Grez-Doiceau,Chaussée de Wavre 304 ,,,https://www.ride-and-race.be
BE,Warrant Motos,067791412,warrantmotos@skynet.be,5124,4.512209,50.622921,1470,Bousval,Rue Point Du Jour 2 ,,067791412,https://www.warrantmotos.be
BE,Techno-Bike,071 61 38 61,technobike01@yahoo.fr,1057,4.454283,50.267403,5650,Chastres (Walcourt),"Allée des Linaires, 1 ",,071613861,https://www.techno-bike.be
BE,JDC Moto,081 73 09 17,info@jdcmoto.be,128,4.850545,50.47046,5000,Namur,Rue de l'Armée Grouchy 33 ,,081738472,https://www.jdcmoto.be
BE,Dam Racing,089 75 16 32,damracing@telenet.be,2379,5.49302,50.86088,3730,Hoeselt,Industrielaan 35 ,,089751633,https://www.dam-racing.be
BE,Hot Motorbike,087 34 19 70,info@hotmotorbike.be,1224,5.812634,50.530698,4910,Theux,"Avenue Reine Astrid, 11 ",,087341967,https://www.hotmotorbike.be
BE,Pecheur Motos,061 61 25 41,pecheur.motos@skynet.be,312,5.374776,50.024693,6870,Saint-Hubert,Rue Du Mont 26 ,,061611510,https://www.pecheurmoto.be
BE,Anquety Motor Sport,080 88 04 40,info@anquetymotorsport.be,8799,5.92118,50.23411,6671,Gouvy,Honvelez 33A ,,,https://anquetymotorsport.be/
BJ,Socar Benin S.A.,+229 21 33 11 81,secretariatdirection.socarbenin@gmail.com,8952,2.449131,6.364235,01 BP 6,Cotonou,PK3 - ROUTE DE PORTO-NOVO ,,,https://www.socar-benin.com
